Question,Answer,Acupuncture_Points,Pharmacopeia
"לחזק את הדם הכללי, הדם בכבד ולהבין מה שורש הבעיה ולתקן אותה (SP או LIV QI STG)","נקודות: SP 10 - ים הדם BL 11 - ים הדם, השפעה על הדם ST 37,39 - בונות דם SP 4 - מסטר של צונג, בונה דם CV 4,6 - ים היואן, ים הדם LIV 3 - תלוי מה מצב האדמה CV 12 - נקודת MU של המחמם האמצעי SP 6 - מפגש שלושת היינים של הרגל LIV 9 - מעטפת היין LIV 14 - נקודת MU של הכבד","BL11, CV12, CV4, LIV14, LIV3, LIV9, SP10, SP4, SP6, ST37",
* KID YIN XU,"תסמינים: תסמינים של חום מדומה - תחושת בערה, הזעת לילה, סומק בפנים, צלצולים באוזניים, דימום וסתי דליל, כאבי ראש, סבוריאה בפנים עיניים יבשות מאוד ומגרדות, ראייה מטושטשת שיכולה להחמיר עד כדי עיוורון לילה. אמוציונלית האדם יהפוך לחסר מנוחה, עצבני ועם בעיות שינה תמונת הלשון - אדומה, מחורצת, מקולפת מיובש, נפוחה בצדדים (אזור הכבד), זה לא נפוח מחומר אלא בגלל הכעס, הצ'י דופק - שטחי, יש הרבה יאנג מדומה, אין יין שמושך מטה, שמעגן מטה, הוא יהיה מהיר בגלל היאנג ותילי, מתוח. עיקרון טיפולי - לחזק יין כללי, לחזק יין של הכבד נקודות: LIV 8 - נקודת מים, חיזוק של הכבד, מחזקת LIV YIN, תמתן ותרגיע את הכבד",LIV8,
"אם המקור הוא KID YIN XU, אז הנקודה KID 10, נקודת מים, שעה, תהיה טובה","LIV 14, נקודת הMU של הכבד, בונה אספקט ייני של הכבד SP 12 בנשים מחזקת יין כללי LIV 3 - נקודת YUAN, אדמה ופלג","LIV14, LIV3, SP12",
"דומה לאטיולוגיה של LIV YIN XU, אבל קיימים בסינדרום זה 2 אספקטים - כרוני ואקוטי:","א. כרוני - אספקט של חסר או חולשה של יין שגורמים ליאנג לעלות למעלה ב. אקוטי - מדבר על עודף יאנג שמוביל לסימפטומים אקוטיים, כלומר עודף יאנג זמני בכבד הסימפטומים הכרוניים: סימפטומים של YIN XU - חום מדומה (חום ב5 המרכזים - גפיים ומרכז החזה, אינסומניה, פלפיטציות) בעיות שרירים, עוויתות, תחושת נימול, רעידות. הסימפטומים הן דומים לLIV YIN XU אך המטופל יבוא ויתאר שיש לו את ההתקפות האלה בין תסמיני הYIN XU. הסימפטומים של המצב האקוטי, של אותו עודף יאנג יהיו: עצבנות, התלקחות וקוצר רוח, עצבנות שנדלקת בשנייה, סחרחורות, כאבי ראש חזקים שמכסים שטח גדול של הראש והתחושה היא כמו פטיש בראש. ההתרכזות של תחושת הפטישים היא בעיקר ברקות כי הכבד בא יחד עם כיס המרה, הוא מזין אותו ביאנג. בנוסף יהיו צלצולים אקוטיים באוזניים, מיגרנה פתאומית ועלייה פתאומית של לחץ דם. המטופלים שמים מכסה על העיניים כי מפריע להם האור. תמונת הלשון - אדומה, מחורצת, יבשה דופק - שטחי, מהיר, תילי (דק) סיבוכים: א. עלייה והתפרצות של אש ללב מהכבד ב. רוח בכבד שמשתוללת עיקרון טיפולי - לחזק את היין של הכבד, פיזור והזעה של היאנג של הכבד, לעבוד על האספקט הייני שקודם למצב זה ולחזק אותו. בזמן התקפת המיגרנה, נפזר את היאנג ונרגיע אותו ובין ההתקפות נחזק את היין נקודות במצב אקוטי: LIV 2 - מעיין, אש, נפזר LIV 3 נתפוס את GB ונוריד אותו מטה על ידי GB 34 נקודת ים, אדמה KID 1 - מושכת אנרגיה כלפי מטה כשHT מתחיל לצאת מאיזון אפשר את ST 40, כשהלב לא רגוע CO הוא המקור שלנו להתנתקות, ייתכן שתהיה במצב זה עצירות ואז ST 33 יכולה להיות טובה. שיעור 5 - 22.4.13 חזרה: 2 אספקטים בכרוני יהיו תסמיני YIN XU - חום מדומה, אינסומניה, פלפיטציות, בעיות שרירים - עוויתות, רעי","GB34, KID1, LIV2, LIV3, ST33, ST40",
"בסינדרום זה, אנו נפגוש את כל הסימפטומים של LIV YIN XU וLIV YANG RISING. יהיו כאבי ראש, מתח פנימי גדול, תחושת בערה אך יהיו אפיזודות של מאניה, טירוף שיתבטאו בהתקפי אלימות - מילולית, פיזית, התפרצויות אלימות לא נשלטות - האדם יאבד שליטה עצמית ויהיה נטול רגיעה.","בזמן ההתקפה וגם לא בזמן ההתקפה, העיניים יהיו אדומות כאילו יוצאות מהחורים, הן יהיו נפוחות (יאנג מחפש פתחי מילוט), יהיה כאב סביב העיניים, צלצולי האוזניים ממוקדים - תהיה עכשיו חירשות רגעית כי הצלצולים כל כך עוצמתיים. יהיה חום גדול, יאנג גדול וFIRE שמתפרץ - יוביל לגרון יבש, צימאון, האדם ירצה לשתות הרבה. * יהיה טעם מר בפה - GB/LIV באטרף של יאנג/חגיגה - עושים בקרה אלימה על ST - יהיו הקאות של חומצה, ליחה. ייתכן שיהיו עצירויות, פתחים יבשים כי אין לחלוחית במעברי האף והפה. בגלל היאנג שעולה יכול להתחיל דימום מהאף. במקרים קיצוניים דימום מהאוזן, שתן כהה ומסריח, גם שיעול דמי יכול להיות. תמונת הלשון - מאוד יבשה, מחורצת, אדומה ומקולפת. נראה גם חיפוי צהוב. דופק - מאוד מהיר, מלא (מלא ברמת היאנג, לא בחומר), תילי סיבוכים: כאבים בחזה שמלווים עם איבוד דם - משיעול או דרך האף. דרך מעגל בקרה, פלישה לST - החלשת SP/ST באספקט נוסף של הפלישה לST, זה יכול לייצור ייבוש של הנוזלים הHT מוזן על ידי הLIV - מתחיל לאבד מהייניות שלו ולהיות מאוד יאנגי, לא יציב, מקום שהSHEN לא רוצה להיות בו הטיפול - דומה לטיפול הקודם. נוסיף את BL2 - מורידה אנרגיה מטה, מרגיעה כאבי ראש ובזמן ההתקפה מווסתת יאנג כלפי מטה השתוללות רוח בLIV בסינדרום זה קיימות התבטאויות חיצוניות בעלות מאפיינים של רוח: מהירות, פתאומיות, תזוזה ממקום למקום ובדרך כלל השפעה על חלקים גבוהים של הגוף. כאשר הרוח הפנימית של הLIV משתוללת, זה מחוסר איזון בין LIV YIN לLIV YANG, כאשר כאן מופר האיזון בין היין שלא מצליח לשלוט ביאנג. אטיולוגיה האטיולוגיה לLIV WIND יכולה להיגרם מ3 סיבות שונות: 1. חום שמקורו בLIV FIRE BLAZING. 2. יאנג שהLIV YANG עולה למעלה, עקב חולשה של LIV",BL2,
3 גורמים/פקטורים אלה יוצרים 3 סוגים של LIV WIND:,"הסוג הראשון - חום גבוה שגורם לרוח בLIV מסוג עודף. הסוג השני - היפראקטיביות של LIV YANG, שזה גם סוג של עודף שיוצר רוח. הסוג השלישי - חסר דם שמפנה מקום לרוח - מוביל לרוח בתוך הLIV, אך כאן זה חסר שמשולב עם עודף. פירוט:",,
1. LIV WIND שנובע מחום גבוה ביותר -,"אטיולוגיה: חום פנימי כלוא במשך זמן ממושך בגוף, יוצר חום ואש בLIV, זה יכול לנבוע מדלקת. חום חיצוני שחודר לתוך הגוף, גורם לשריפה וייבוש נוזלי הגוף והדם. חסר דם ונוזלי גוף - ישפיע ישירות על השרירים. השריר מונע על ידי הזנה של דם. סימפטומים: חום גבוה - טמפ' הגוף גבוהה צוואר מאוד נוקשה כאבים והתכווצויות של הGV חוסר תנועה של הצוואר עוויתות פירכוסים בעיות מנטליות כמו בלבול וערפול חושים - החום הגבוהה בגוף הכניס רוח, העיב על הSHEN, יבש את היין ואת הדם, יש נוקשות ונכנסה רוח, אין תנועתיות של GV, צוואר. מצב זה יכול להגיע להידרדרות והחמרה עד לכדי קומה, שהעיניים מתגלגלות ונאבד הקשר של האדם עם העולם. תמונת הלשון - מאוד אדומה, יבשה, חיפוי צהוב. ללשון יש סטייה - אין לה מרכוז כי הרוח לא מאפשרת להוציא אותה עם מרכוז, בסיס, היא יכולה גם להיות רוטטת (יכול להיות גם חסר צ'י חמור או רוח) דופק - מהיר, תילי, מלא. סיבוכים - מוות עיקרון טיפולי - להפחית את החום, לדכא את LIV YANG, להזין יין ונוזלים ולהרגיע את הרוח. טיפול - על מנת להפחית נוכחות חום כלא בגוף, נקיז דם. חום מטבעו בורח לקצוות - נקיז דם מנקודת הבאר (JING WELL POINTS), לפעמים מספיק 2,3 טיפות דם כדי שהחום יברח החוצה. נדקור את CO11:מקררת, בונה דם. לעיתים נראה שיצא שם מעט דם, כי החום מחפש פתחי מילוט. אחרי הקזת דם והורדת החום נוכל להתחיל עם נקודות מחזקות, מקררות: LIV2 בפיזור - נקודת האש, LIV3 בחיזוק - נקודת אדמה, LIV8, גם GV12,14,16 מווסתות רוח 2. היפראקטיביות של LIV YANG שגורם לLIV WIND הסינדרום הזה, הוא מסוג של עודף. אטיולוגיה:","CO11, GV12, LIV2, LIV3, LIV8",
"כאשר המצב של KID YIN XU וLIV YIN XU גורם לעליית היאנג, שסוחבת איתה גם צ'י וגם דם - מה שעלול לגרום לסטגנציה של צ'י ודם בחלק העליון של הגוף.","על פי רפואה מערבית: בשבץ קריש סותם את אחד מכלי הדם במוח, הוא עולה למעלה בגלל היאנג הגדול, הרוח. הקריש זה כי הדם מאוד סמיך. הסמיכות זה הליחה בדם, הצמיגיות. * עם הגיל מערכת העיכול נחלשת - המזון פחות מתפרק כמו שצריך - הוא נצמד לדפנות - הכולסטרול והטריגיליצירידים עולים (כל הליחה, השומניות מהמזון) - חלק קטן מהפלאק הזה מתנתק ומתחיל לנוע בגוף ואם גם יש לחץ דם גבוה וחום פנימי - אז היאנג עולה למעלה וסוחב את הקריש שסותם כלי דם בראש (בחום פנימי היין,דם, נוזלי גוף נפגעים). תסמינים: היאנג המשתולל יכול ליצור חוסר שליטה, יציבות ומירכוז. האדם לא נטוע, מין חוסר שליטה במרחב, בתחושה. יש חוסר איזון ושליטה. סחרחורות - על רקע עודף כמו בקרוסלה - עושה חוסר יציבות כשיורדים. תתחיל תחושה של נימול בגפיים, רעידות של הגפיים כי היאנג גורם לחוסר יציבות - בעיקר בגפיים של חלק גוף עליון כי הרוח תוקפת את פלג הגוף העליון. עוויתות ותנועות בלתי רצוניות של השרירים - כמו רגל שמתחילה לקפוץ או בעין. השפעת האלכוהול במחזור או אחריו תכניס חום ואין דם שיספוג את זה - תהיה השפעה יותר חזקה לאלכוהול. אפשר לפתח במצב זה מיגרנות נוראיות, כאבי ראש קשים ומאניה או טירוף פתאומי עם חוסר שליטה. יתכן שבץ או מצב מקדים לשבץ עיקרון טיפולי - להוריד את היאנג, להאט את סירקולציית הצ'י, את היאנג וההיפראקטיביות. אם יש חום יש להפחית אותו, להמליץ על דיאטה נכונה, אורח חיים נכון. * אם מדובר על מצב של CVA, יתלוו גם תסמינים מנטליים, איבוד זיכרון, כבדות לשון - קושי בדיבור, חוסר יכולת לחשוב, להתרכז, פאציאליס (פנים נפולות ואין חיות בפנים). * אם לא מדובר על CVA או טרום CVA, חשוב לשמור על דיאטה, אורח חיים, להפחית אלכוהול, להפחית מזון של אש ולחות - מזון מת",,
"* מטרת הטיפול תהיה להרגיע את LIV WIND/היאנג המשתולל ולתמוך בLIV YIN - היין מרגיע, מקרקע.","נקודות לדיקור: LIV 8 נקודת מים, חיזוק, מחזקת את היין של הכבד. LIV 3 מחזקת את היין של הכבד KID 3 נקודת YUAN, מחזקת KID YIN - זה יוביל לחיזוק LIV YIN. GB 34 LIV 9 * במצב של אחרי CVA, מטפלים ב3 אספקטים: 1. בפנים, כשיש פאציאליס עובדים בילטרלית. הנקודות באזור הפגוע - מפזרים אותן נגד כיוון השעון ובאזור הבריא, עושים TONIFICATION, להזרים אנרגיה טובה. - דוקרים את CO4, CO 11, הנקודה ST31 מזרימה צ'י לרגליים (יש לעיתים גרירת רגל אחרי שבץ כי הרבה אנרגיה התרכזה בחלק העליון, בראש). - הנקודה ST36 טובה על מנת להחזיר ביטחון כי מרגישים שאין אחיזה, פוחדים לעשות פעולות פשוטות. - הנקודה ST 40	 מנקה ליחה מהגוף. 2. כשאדם מאבד את יכולת הדיבור, הSHEN נחבטה. - הנקודה HT5, נקודת חיבור, קשר עם הפנים. - GV 15 3. לנקות את הליחה מהגוף, להתמיר את הליחה בגוף כי זה מה שגרם לקריש, דיאטה כאן היא חשובה. אחרי אירוע CVA בגלל קריש, ישר נותנים מדללי דם, צריך להיזהר מנקודות יותר מדי מניעות כי אולי הקריש מסתובב - צריך לתת יאנג מתון. 3. LIV BL XU שגורם לLIV WIND מדברים על מצב של חסר עם עודף. עקב החסר, המצב הוא הרבה פחות דרמטי. אטיולוגיה","CO11, CO4, GB34, GV15, HT5, KID3, LIV3, LIV8, LIV9, ST31, ST36, ST40",
SP QI XU או חולשת מערכת עיכול שאינה מייצרת דם.,"להיגרם על ידי חסר דם בHT. * חסר דם בHT - עולה חום בFIRE - הכליות עובדות יותר קשה - הזנה פחותה של הכבד - בקרה על האש. סימפטומים: * הם נוצרים בעקבות חוסר הזנה של השרירים והגידים, כשיש חסר דם השרירים לא מוזנים. * סימפטומי חסר דם - חיוורון, סחרחורות, פנים חסרות חיות, עייפות, חולשה, יובש, ציפורניים שבורות, לחץ דם נמוך. * אחר כך יהיו סימפטומי LIV BL XU - ראייה מטושטשת, התכווצויות שרירים, הרגשת נימול, קצת רעידות של הידיים, התכווצויות הגפיים. * תסמיני רוח - טיקים בעיניים, עוויתות, טיקים בפנים - לחי קופצת, חוסר רגיעה ושקט עם השפה (מזיזים, מלקקים). תמונת הלשון - חיוורת, נטייה ליובש. דופק - כמו של BL XU, קטוע, תילי קצת. עיקרון טיפולי - חיזוק דם וכך סילוק והפחתת נוכחות רוח. נקודות לדיקור: ST 37-39 GB 29 ST 36 SI 4 CV 4-6 LIV 13 - נקודת MU של הטחול. LIV 14 LIV 8 - מחזקת יין של הכבד KID 10 - מחזקת יין של הכליות BL 11 - בונה דם. SP 10 - ים הדם SP 4 - סבא נכד. שיעור 6 - 29.4.13 ליחה חמה בתוך LIV/GB: סינדרום זה הנו של עודף ושל חום. אטיולוגיה: מצב זה יכול לבוא מהצטברות של ליחה פנימית שמיוצרת לנו בSP ובST במחמם האמצעי עקב SP QI XU או חסר יאנג בSP. הליחה הזו נטייתה להיתקע ולשקוע בM.J, הליחה דביקה ולא מאפשרת קלילות והכבד והכיס מרה מתקשים לזרום כהלכה, הם מתקשים לנוע במרחב כפי שהם רגילים ואז מתחיל להיווצר לנו חום. הליחה היא תוצרת של SP/ST, החום הוא תוצר של LIV/GB תקוע. הליחה החמה שעולה מקשה על הריאות לפזר את הצ'י כפי שהוא אמור. * מצב נוסף שיכול להיגרם מליחה חמה זה שסך הכל האדמה שלנו היא מאוזנת אבל הLIV/GB הם בסטגנציה, תקועים, דחוסים ולא משחררים, כועסים, צועקים וההתבטאות של האיברים סטגננטית. האדם הו","BL11, CV4, GB29, KID10, LIV13, LIV14, LIV8, SI4, SP10, SP4, ST36, ST37",
"הכליות אינן מעגנות את האנרגיה, KID YIN XU, גם KID YANG XU וLU YIN XU או התחלה של LU DRY.","יש כשל של מקור מים תחתון וגם עליון (העישון) תסמינים נוספים אפשריים - עצירות, קשיי נשימה, כאבי ברכיים, סחרחורות, שתן מרוכז וצהוב בעיות שינה, יכולות להיות הזעות ספונטניות (בגלל הפחד) תמונת הלשון - מחורצת (חריץ מהכליות, מבסיס הלשון), היא תהיה יבשה, נפולה - אין טונוס תמונת הדופק - KID - מהיר, ריק, לא חיוני, אין ויטליות תמונת הדופק - LU - שטחי, דק, ריק, אלמנט מהיר אסטרטגיה טיפולית - לחזק את הכליות, את האספקט של היין, את האספקט של הצ'י, לתמוך בLU, ללחלח אותן. נקודות לטיפול הראשון - KID 7, מחזקת את היין ואת הצ'י. יש למטופל יותר מדי מתכתיות, הוא מהוסס וסגור, הנקודה היא נהר, מתכת, חיזוק של הכליות. היא מחזקת את הכליות בשני האספקטים. KID 3 יכולה להיות גם טובה, KID 10 גם כן, CV 4,6 טובות להכנסת אנרגיה למחמם התחתון. אפשר GB 25, גם LU2, הנקודה PC 6 יכולה להיות טובה, לרפד את היין, היא מרפדת את משכן הSHEN, הנקודה LU 1 טובה. מגע חשוב כאן על מנת לפתוח את בית החזה תיאור מקרה מיכאל, בן 55, איש עסקים בעל חברה לניהול תיקי השקעות. ההופעה שלו מחויטתת ומעונבת, הוא מסודר ונקי ללא רבב - מתכת תלונתו העיקרית היא שהוא חש תחושת בחילות ומלאות באזור ההיפוכונדריום - הצטברות ליחה חמה בSP ומעורבות של GB/LIV תלונתו המשנית היא תחושת צימאון אך ללא יכולת לשתות הרבה. השתן שלו מועט ובעל ריח - חום וליחה בטחול אבחנת הגוף - אודם באזור הצוואר והפנים (לדבריו הוא ככה שנים), יש לו ריח לא נעים מהפה (יאנג, חום, חום בST), למרות ריח הבושם הרב שנודף ממנו. כרסו מוסתרת היטב בעזרת החליפה (חולשת אדמה, סטגנציה בMJ) היסטוריה - עישן עד לפני חצי שנה קופסא וחצי ליום. (חום בריאות, פגיעה ביין) תזונה - מזדמנת בשל אילוצי החיים. (מחליש SP/ST)","CV4, GB25, KID10, KID3, KID7, LU1, LU2, PC6",
* LIV QI STG,"* תסמינים נוספים שיכולים לבוא - שלשולים חמים, צרבות, כאבים בצד הגוף, עיניים מגורות, יכול להיות שיסבול מ""גלעין שיזף"" * אנשי מתכת יסבלו מפחד לאבד את האינטימיות שלהם, בעבודה הם יהיו פרפקט אך בבית כאזור אינטימי הם יהיו מרוחקים. חשוב לייצר לבעלי אופי מתכת גמישות מנטלית כי אחרת יתקשו לקבל גמישות פיזי * האיברים שנפגעו - SP/ST, LIV/GB, LU * תמונת הלשון - הטיפ אדום ויכול להיות שכלל הלשון תהיה אדומה, חיפוי צהוב * דופק - SP - מתגלגל ומהיר LIV - מתוח, תילי LU - מהיר * יכול להיות שבמצב זה הכליות יהיו חלשות, יכול להיות קשר LU-KID, קשר שני דרך ניסיון של LIV/GB לשתות מהכליות, בנוסף LIV/GB חם מעלה את החום בHT וKID צריך לבקר את HT ומכל זה יתכן ונראה פגיעה ביין של הכליות. * אסטרטגיה טיפולית - נרצה לחזק SP, לסלק ליחה, ויסות LIV/GB ,הרגעה ואיזון של LIV/GB. * חשוב תזונה נכונה, פעילות ספורטיבית, יצירה, כתיבה. * נקודות לטיפול - ST 40,42, כאשר מסתכלים על ST רואים כי הוא נמצא במרכז. הוא האספקט היאנגי של האדמה. במידה ואדקור את היואן של הST אני אביא יאנג מתפרץ לכל ארבעת הכיוונים. זהו יאנג שבא מתוך האדמה, הוא לא מתלהם, הוא יותר עדין וגם  בא מהמרכז ל4 כיווני אוויר. - SP 16	 היא נקודה של עץ אדמה. היא מקבלת מהMU של LIV/GB והיא מעדנת אותן ומרגיעה אותן. - LU 3 כנקודת אשנב לרקיע תעשה עבודה בשתי רמות. הגוף הוא כמו מערכת סגורה, בדחיסות אוויר חם יעלה למעלה (אדום באזור הצוואר), פתיחת אשנב לרקיע יכניס אנרגיה מבחוץ ויערוך איזון בין המחמם העליון לתחתון. האספקט השני של הנקודה הינו אספקט מנטלי, פתיחה תוביל להכנסת החוץ לתוך הגוף. גם הטריאגרמה של הריאות הנה של SUN, רוח עדינה. זה יצור כאן תנועה. ניתן לדקור נקודת יין ברגל,","LU3, SP16, ST40",
ג. KID YANG XU/SP YANG XU - אין לי יאנג לא באספקט של הכליות ולא של הטחול ויש לי קור בגוף.,"סימפטומים: 1. עצירות על רקע של קור כי הקור הוא מאט את הפריסטלטיקה, את התנועתיות ואז נוצרת עצירות. 2. יהיה קושי רב ביציאה. 3. כאב באזור הבטן התחתונה עם הקרנה כלפי מטה. 4. האדם ירגיש טוב אם הוא יאכל מזונות חמים והוא ירגיש טוב אם נעשה לו מסוג או נשים כרית חמה או מוקסה.",,
"הסתבכויות - אם הקור בCO מחמיר עלולה להתרחש פגיעה בKID, אנו נראה תחושות של קור בגפיים ויהיה הרבה שתן צלול, KID YANG XU.","תמונת הלשון - חיוורת ולבנה דופק - איטי כי הקור מאט, עמוק כי הקור מפיל דברים מטה והוא יכול להיות מתוח כי הקור יוצר מתח ובנוסף כי יש כאבים. עיקרון טיפולי: חיזוק היאנג על מנת להפיג את הקור+חיזוק התנועתיות, הפריסטלטיקה של הCO. נקודות לדיקור: TH 6 - נקודת אש, שעה, היא פותחת ומניעה, מחממת, ממריצה את הTH, מכניסה הרבה חום, היא תסלק קור מהCO. ST 41 - נקודת אש, חיזוק, תשפיע לנו על הCO CO 5 - SI 5 KID 16 - במוקסה, אפשר ללפף על ראש המחט קצת מוקסה ולהכניס חום CV 8 - מוקסה BL 23, 25 - מוקסה * חשוב לזכור האם זה על רקע פתוגן חיצוני או מזון קר, חשוב לאכול ארוחה חמה אחת ביום לפחות, לשתות גינגר, להתחיל את היום עם משהו המחמם את מערכת העיכול. ירקות שורש מאוד מחזקים את מערכת העיכול ואת המרכז. להוסף סלק, בטטה, סלרי, כל השורשים, חשוב לעשות ספורט, להניע. * 4 הסינדרומים הם סינדרומים של עצירות. 5.  ליחה חמה בתוך הCO","BL23, CO5, CV8, KID16, SI5, ST41, TH6",
6. חסר בCO מלווה עם קריסה של איברים (SP YANG XU),"* שני הסינדרומים האחרונים הם של שלשולים. 7. פצעים מוגלתיים בCO שיעור 12 - 10.4.13 חום ולחות בCO: למה יש לנו חום ולחות בCO - אטיולוגיה: א. דיאטה לא מבוקרת - מטוגן, עשיר, מתובל. ב. הרבה מזונות תעשייתים - עם צבעי מאכל, חומרים משמרים. ג. אכילה של כמות בצורה לא מבוקרת, בולעים ולא לועסים, בכל שעה של היום. ד. אכילה של מזון לא טרי, מקולקל. ה. בעקבות חום ולחות חיצוניים, החום פלש וחדר למעי. זה יכול לבוא דרך LU וגם דרך ST. סימפטומים: העיקרי הנו שלשול - החום והלחות יוצרים משהו שאי אפשר להשתלט עליו, השלשול הוא דחוף, לא בכמות גדולה אך עם ריח מסריח, מגיע בפתאומיות, מלווה בהתכווצויות וכאבי בטן, תחושות של חום בבטן עם הקרנה לפי הטבעת. הגוון של השלשול יהיה דליל, נטייה למימי, חום אך עם צהבהבות בגלל הליחה. השלשול יכול להיות עם צבע של חמאת בוטנים. לעיתים החום יוצר פצע שיכול לדמם ויכולים לראות בשלשול שהוא שזור עם חוטי דם. השתן יהיה כהה, מסריח, מועט תהיה נפיחות של הבטן כי החום מרחיב ונוכחות הליחה יוצרת כבדות. הרבה גזים המעידים על חוסר סדירות של המעיים. הפה יהיה יבש יכול להיות בגלל הקשר לST, הליחה והחום ישפיעו על הST ויהיה מצב של הקאות. תמונת הלשון - אדומה עם חיפוי צהוב, דביק דופק - מהיר בגלל החום ומתגלגל בגלל הליחה הסתבכויות - איבוד נוזלי גוף, פגיעה ביין. * תסמונת המעי הרגיז - יש חוסר שקט במעי כל הזמן ויש שלשולים שהם מונעים על ידי מערך רגשי. * יש תסמונת הנקראת ""אי שליטה על סוגרים"". בזמן ישיבה בורח להם צואה. הפציינט לא סתום רק לסביבה אלא גם אטום לגוף עצמו. חולים כאלו לעיתים לא יכולים ללכת עם בגדים אלא חייבים להרגיש משוחררים, אי אפשר ללטף אותם והם חייבים להתפשט. אנשים אלו לא יכולים לסבול מגע, יש להם ע","CO11, CO9, CV8, KID10, LIV8, SP9, ST25, ST36, ST37, ST39, ST40, ST42",
"יהיו לנו סימפטומים של SP YANG XU - קור בגפיים, חוסר תיאבון, חוסר T AND T, כאבי בטן המוטבים על ידי חום, עייפות.","תמונת הלשון - חיוורת, נפוחה עם סימני שיניים, כיסוי לבן דופק - איטי, חלש, עמוק, אין יאנג, אין ויטליות, אין מה שירים למעלה. עיקרון טיפולי - חיזוק KID/SP YANG ולגרום לצ'י המרכזי בגוף שהנו הSP לעלות למעלה. הסתבכויות - יכולים להיות לנו שלשולים כרוניים קרים בגלל הקור שנובע מחוסר T AND T. הטיפול - רוצים לתת הרבה יאנג, זה על ידי מוקסה. נעשה מוקסה בוקס על אזור המחמם התחתון, , נדקור נקודות המחזקות את האספקט היאנגי כמו: BL 20, BL 22, BL 23, BL 25 KID 2 מוקסה בCV 8 CV 4, CV 6 GV 20 - להעלות צ'י למעלה ST 39 גם כן מעלה SP 2 - נקודת האש, הDE של הSP SP 8 נקודת הצטברות של הSP אפנדציט - פצעים מוגלתיים בCO * ניתן לראות סינדרום זה גם כסטגנציה של דם בCO. אטיולוגיה: 1. כתוצאה מסטגנציה כללית או של דם, או של צ'י בCO. 2. הצטברות של ליחה חמה בCO.","BL20, BL22, BL23, BL25, CV4, CV6, GV20, KID2, SP2, SP8, ST39",
"3. כתוצאה מהצטברות של ליחה חמה בLIV שגורמת לסטגנציה של LIV QI, שגורמת לSP/ST QI XU, שגורמת ללחות חמה בLJ, יש לי את החום מהסטגנציה של הכבד והלחות נופלת כלפי מטה מהMJ לכיוון הLJ. החום שישנו נטייתו להתפשט מביא לפצעים מוגלתיים. בפצעים שהם כמו חצקון רואים בצבע הצהוב את הליחה.","4. או מלחות חמה חיצונית שתוקפת לנו את הגוף, או מדיאטה (מערך תזונתי) חמה, עשירה, שומנית. כשאוכלים חריף זה כואב בפה, בבטן ובישבן. המזונות המטוגנים, החריפים והחמים (החטיפים והפלאפל) שנטייתם ליצור ליחה. סימפטומים: * כדי לדעת האם האדם סובל מאפנדציט אנו בודקים את נקודת האקסטרא LAN WEI, שנמצאת 2 צון מתחת לST 36 או אחד צון מעל ST 37. אם הנקודה מאוד רגישה למגע אז סימן שיש אפנדיציט, הרפואה הסינית לא יכולה לעזור במצב אקוטי של אפנדציט, ההתפוצצות יכולה לגרום לדלקת וזיהום לחלל הבטן ויש להתפנות לבית החולים. * כאב בחלק הימני, התחתון של הבטן התחתונה. הכאב יהיה חד מאוד במקרה חמור ועמום במקרה התחלתי. באפנדציט הכאב מתחיל מהMJ, מהאזור סביב הטבור ולאט לאט נע לכיוון הבטן התחתונה בצד ימין. הכאב מוחמר ואינו סובל מגע. האדם יכול לסבול מחום, בחילות והקאות וכן חוסר תיאבון. תמונת הלשון - במצב של אפנדציט היא תהיה אדומה עם הרבה חום, כיסוי צהוב ודביק, דופק - יכול להיות מלא, מתגלגל, מהיר בגלל החום ומתוח בשל הכאב. * הריון הוא טריגר הרבה פעמים להרבה דברים וגם לאפנדציט. מטרת הטיפול - א. לפתוח את הסטגנציה. ב. לפזר את הליחה החמה. נקודות לדיקור: ST 37 - מנקה ומטהרת את המעיים ST 36 CO 11 CO 2 למקרה שיש הרבה חום KID 10, LIV 8, SP 9 לניקוי חום מהמחמם התחתון ST הקדמה: שייך לאלמנט האדמה ונמצא בקשר ישיר וחזק עם הSP. בתוך אלמנט האדמה הוא אחראי על התנועתיות כלפי מטה (העברת המזון לSI ולCO). הSP אחראי על העלאת הטהור כלפי מעלה. לST יש נטייה לסבול מYIN XU, חום או מיובש ואילו לSP יש נטייה לסבול מהעדר או חסר צ'י או העדר וחסר יאנג. התפקיד העיקרי של הST זה לקבל את המזון, להבשיל ולחמם אותו, לערבל אותו להכין אותו לקראת תהליך הT AND ","CO11, CO2, KID10, LIV8, SP9, ST36, ST37",
